isChapter, link, compareLink, text, isChildLink, similarityRatio, containsChapter, endsWithNumber
false,https://mangahere.onl/opensearch.xml,opensearch.xml,,false,0.0030581039755351682,false,false
false,https://mangahere.onl/manga/return-of-immortal-emperor,manga/return-of-immortal-emperor,,true,0.03669724770642202,false,false
false,/apple-touch-icon.png,/apple-touch-icon.png,,false,0.0030581039755351682,false,false
false,/favicon-32x32.png,/favicon-32x32.png,,false,0.0061162079510703364,false,true
false,/favicon-16x16.png,/favicon-16x16.png,,false,0.0061162079510703364,false,true
false,/manifest.json,/manifest.json,,false,0.0030581039755351682,false,false
false,/safari-pinned-tab.svg,/safari-pinned-tab.svg,,false,0.0030581039755351682,false,false
false,https://fonts.googleapis.com/css?family=Roboto:400,400i,500,700,css?family=roboto:400,400i,500,700,,false,0.0030581039755351682,false,true
false,/css/bootstrap.css?v=200927,/css/bootstrap.css?v=200927,,false,0.009174311926605505,false,true
false,/assets/vendors.f3db9421.chunk.js,/assets/vendors.f3db9421.chunk.js,,false,0.012232415902140673,false,true
false,/assets/client.895406fe.js,/assets/client.895406fe.js,,false,0.0030581039755351682,false,true
false,/assets/vendors~chapter~contact~directory~home~login~manga~not-found~privacy~terms~user.c4c05cdd.chunk.js,/assets/vendors~chapter~contact~directory~home~login~manga~not-found~privacy~terms~user.c4c05cdd.chunk.js,,false,0.0061162079510703364,true,true
false,/assets/vendors~chapter~manga~user.3e00107c.chunk.js,/assets/vendors~chapter~manga~user.3e00107c.chunk.js,,false,0.012232415902140673,true,true
false,/assets/vendors~chapter~manga.23f0149f.chunk.js,/assets/vendors~chapter~manga.23f0149f.chunk.js,,false,0.012232415902140673,true,true
false,/assets/contact~directory~home~login~manga~not-found~privacy~terms~user.444df516.chunk.js,/assets/contact~directory~home~login~manga~not-found~privacy~terms~user.444df516.chunk.js,,false,0.0061162079510703364,false,true
false,/assets/manga.d81c8031.chunk.js,/assets/manga.d81c8031.chunk.js,,false,0.012232415902140673,false,true
false,https://c.disquscdn.com/next/embed/styles/lounge.45ce3ab7627dd20241bfd7e5b01d3737.css,next/embed/styles/lounge.45ce3ab7627dd20241bfd7e5b01d3737.css,,false,0.009174311926605505,false,true
false,https://c.disquscdn.com/next/embed/common.bundle.2f2f40d40785c9541a90e9086c8770a3.js,next/embed/common.bundle.2f2f40d40785c9541a90e9086c8770a3.js,,false,0.009174311926605505,false,true
false,https://c.disquscdn.com/next/embed/lounge.bundle.ace98c1ec418cae085455f6914352928.js,next/embed/lounge.bundle.ace98c1ec418cae085455f6914352928.js,,false,0.009174311926605505,false,true
false,https://disqus.com/next/config.js,next/config.js,,false,0.0030581039755351682,false,false
false,https://mangahere.onl,https://mangahere.onl,MangaHere.onl,false,0.0061162079510703364,false,false
false,https://mangahere.onl/login,login,,false,0.0030581039755351682,false,false
false,https://mangahere.onl/search,search,Directory,false,0.0030581039755351682,false,false
false,https://mangahere.onl/popular,popular,Popular,false,0.0030581039755351682,false,false
false,https://mangahere.onl/updates,updates,Updates,false,0.0030581039755351682,false,false
false,https://mangahere.onl/new,new,New,false,0.0030581039755351682,false,false
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-248,chapter/return-of-immortal-emperor/chapter-248,Chapter 248,true,0.8103975535168195,true,true
false,https://mangahere.onl/genre/action,genre/action,Action,false,0.01529051987767584,false,false
false,https://mangahere.onl/genre/adventure,genre/adventure,Adventure,false,0.01529051987767584,false,false
false,https://mangahere.onl/genre/fantasy,genre/fantasy,Fantasy,false,0.01529051987767584,false,false
false,https://mangahere.onl/genre/shounen,genre/shounen,Shounen,false,0.01529051987767584,false,false
false,https://mangahere.onl/genre/webtoons,genre/webtoons,Webtoons,false,0.01529051987767584,false,false
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-155,chapter/return-of-immortal-emperor/chapter-155,Continue #155,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-1,chapter/return-of-immortal-emperor/chapter-1,Start Reading,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-247,chapter/return-of-immortal-emperor/chapter-247,#247 - 247-eng-li2 days ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-246,chapter/return-of-immortal-emperor/chapter-246,#246 - Chapter 2464 days ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-245,chapter/return-of-immortal-emperor/chapter-245,#245 - Chapter 2451 weeks ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-244,chapter/return-of-immortal-emperor/chapter-244,#244 - Chapter 2442 weeks ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-243,chapter/return-of-immortal-emperor/chapter-243,#243 - Chapter 2432 weeks ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-242,chapter/return-of-immortal-emperor/chapter-242,#242 - Chapter 2423 weeks ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-241,chapter/return-of-immortal-emperor/chapter-241,#241 - Chapter 2413 weeks ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-240,chapter/return-of-immortal-emperor/chapter-240,#240 - Chapter 2403 weeks ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-239,chapter/return-of-immortal-emperor/chapter-239,#239 - Chapter 2394 weeks ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-238,chapter/return-of-immortal-emperor/chapter-238,#238 - Chapter 2384 weeks ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-237,chapter/return-of-immortal-emperor/chapter-237,#237 - Chapter 2374 weeks ago,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-236,chapter/return-of-immortal-emperor/chapter-236,#236 - Chapter 23610-06-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-235,chapter/return-of-immortal-emperor/chapter-235,#235 - Chapter 23510-02-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-234,chapter/return-of-immortal-emperor/chapter-234,#234 - Chapter 23409-27-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-233,chapter/return-of-immortal-emperor/chapter-233,#233 - Chapter 23309-21-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-232,chapter/return-of-immortal-emperor/chapter-232,#232 - chapter 23209-16-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-231,chapter/return-of-immortal-emperor/chapter-231,#231 - Chapter 23109-10-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-230,chapter/return-of-immortal-emperor/chapter-230,#230 - Chapter 23009-09-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-229,chapter/return-of-immortal-emperor/chapter-229,#229 - Chapter 22909-04-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-228,chapter/return-of-immortal-emperor/chapter-228,#228 - Chapter 22808-30-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-227,chapter/return-of-immortal-emperor/chapter-227,#227 - Chapter 22708-25-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-226,chapter/return-of-immortal-emperor/chapter-226,#226 - Chapter 22608-25-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-225,chapter/return-of-immortal-emperor/chapter-225,#225 - Chapter 22508-24-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-224,chapter/return-of-immortal-emperor/chapter-224,#224 - Chapter 22408-21-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-223,chapter/return-of-immortal-emperor/chapter-223,#223 - Chapter 22308-17-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-222,chapter/return-of-immortal-emperor/chapter-222,#222 - Chapter 22208-14-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-221,chapter/return-of-immortal-emperor/chapter-221,#221 - Chapter 22108-10-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-220,chapter/return-of-immortal-emperor/chapter-220,#220 - Chapter 22008-07-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-219,chapter/return-of-immortal-emperor/chapter-219,#219 - Chapter 21908-06-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-218,chapter/return-of-immortal-emperor/chapter-218,#218 - Chapter 21808-01-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-217,chapter/return-of-immortal-emperor/chapter-217,#217 - Chapter 21707-28-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-216,chapter/return-of-immortal-emperor/chapter-216,#216 - Chapter 21607-24-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-215,chapter/return-of-immortal-emperor/chapter-215,#215 - Chapter 21507-20-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-214,chapter/return-of-immortal-emperor/chapter-214,#214 - Chapter 21407-17-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-213,chapter/return-of-immortal-emperor/chapter-213,#213 - Chapter 21307-10-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-212,chapter/return-of-immortal-emperor/chapter-212,#212 - Chapter 21207-03-2021,true,0.8103975535168195,true,true
