isChapter, link, compareLink, text, isChildLink, similarHrefCount, containsChapter, endsWithNumber
false,https://mangahere.onl/opensearch.xml,opensearch.xml,,false,0,false,false
false,https://mangahere.onl/manga/return-of-immortal-emperor,manga/return-of-immortal-emperor,,true,11,false,false
false,/apple-touch-icon.png,/apple-touch-icon.png,,false,0,false,false
false,/favicon-32x32.png,/favicon-32x32.png,,false,1,false,true
false,/favicon-16x16.png,/favicon-16x16.png,,false,1,false,true
false,/manifest.json,/manifest.json,,false,0,false,false
false,/safari-pinned-tab.svg,/safari-pinned-tab.svg,,false,0,false,false
false,https://fonts.googleapis.com/css?family=Roboto:400,400i,500,700,css?family=roboto:400,400i,500,700,,false,0,false,true
false,/css/bootstrap.css?v=200927,/css/bootstrap.css?v=200927,,false,2,false,true
false,/assets/vendors.e05f03dc.chunk.js,/assets/vendors.e05f03dc.chunk.js,,false,3,false,true
false,/assets/client.c18c7b72.js,/assets/client.c18c7b72.js,,false,2,false,true
false,/assets/vendors~chapter~contact~directory~home~login~manga~not-found~privacy~terms~user.c8317a1c.chunk.js,/assets/vendors~chapter~contact~directory~home~login~manga~not-found~privacy~terms~user.c8317a1c.chunk.js,,false,1,true,true
false,/assets/vendors~chapter~manga~user.a5157e86.chunk.js,/assets/vendors~chapter~manga~user.a5157e86.chunk.js,,false,2,true,true
false,/assets/vendors~manga.e0e7bfe2.chunk.js,/assets/vendors~manga.e0e7bfe2.chunk.js,,false,4,false,true
false,/assets/chapter~contact~directory~home~login~manga~not-found~privacy~terms~user.4e905dc4.chunk.js,/assets/chapter~contact~directory~home~login~manga~not-found~privacy~terms~user.4e905dc4.chunk.js,,false,1,true,true
false,/assets/manga.d7590c0f.chunk.js,/assets/manga.d7590c0f.chunk.js,,false,3,false,true
false,https://mangahere.onl,https://mangahere.onl,MangaHere.onl,false,1,false,false
false,https://mangahere.onl/login,login,,false,0,false,false
false,https://mangahere.onl/search,search,Directory,false,0,false,false
false,https://mangahere.onl/popular,popular,Popular,false,0,false,false
false,https://mangahere.onl/updates,updates,Updates,false,0,false,false
false,https://mangahere.onl/new,new,New,false,0,false,false
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-160,chapter/return-of-immortal-emperor/chapter-160,Chapter 160,true,179,true,true
false,https://mangahere.onl/genre/action,genre/action,Action,false,4,false,false
false,https://mangahere.onl/genre/adventure,genre/adventure,Adventure,false,3,false,false
false,https://mangahere.onl/genre/fantasy,genre/fantasy,Fantasy,false,3,false,false
false,https://mangahere.onl/genre/shounen,genre/shounen,Shounen,false,4,false,false
false,https://mangahere.onl/genre/webtoons,genre/webtoons,Webtoons,false,3,false,false
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-155,chapter/return-of-immortal-emperor/chapter-155,Continue #155,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-1,chapter/return-of-immortal-emperor/chapter-1,Start Reading,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-159,chapter/return-of-immortal-emperor/chapter-159,#159 - Chapter 1593 days ago,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-158,chapter/return-of-immortal-emperor/chapter-158,#158 - Chapter 1585 days ago,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-157,chapter/return-of-immortal-emperor/chapter-157,#157 - Chapter 1571 weeks ago,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-156,chapter/return-of-immortal-emperor/chapter-156,#156 - chapter 1562 weeks ago,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-154,chapter/return-of-immortal-emperor/chapter-154,#154 - Chapter 1542 weeks ago,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-153,chapter/return-of-immortal-emperor/chapter-153,#153 - Chapter 1533 weeks ago,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-152,chapter/return-of-immortal-emperor/chapter-152,#152 - Chapter 1523 weeks ago,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-151,chapter/return-of-immortal-emperor/chapter-151,#151 - Chapter 1514 weeks ago,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-150,chapter/return-of-immortal-emperor/chapter-150,#150 - Chapter 15012-14-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-149,chapter/return-of-immortal-emperor/chapter-149,#149 - Chapter 14912-10-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-148,chapter/return-of-immortal-emperor/chapter-148,#148 - Chapter 14812-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-147,chapter/return-of-immortal-emperor/chapter-147,#147 - Chapter 14712-02-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-146,chapter/return-of-immortal-emperor/chapter-146,#146 - Chapter 14611-26-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-145,chapter/return-of-immortal-emperor/chapter-145,#145 - Chapter 14511-23-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-144,chapter/return-of-immortal-emperor/chapter-144,#144 - Chapter 14411-21-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-143,chapter/return-of-immortal-emperor/chapter-143,#143 - Chapter 14311-17-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-142,chapter/return-of-immortal-emperor/chapter-142,#142 - Chapter 14211-09-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-141,chapter/return-of-immortal-emperor/chapter-141,#141 - Chapter 14111-04-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-140,chapter/return-of-immortal-emperor/chapter-140,#140 - Chapter 14010-31-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-139,chapter/return-of-immortal-emperor/chapter-139,#139 - Chapter 13910-27-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-138,chapter/return-of-immortal-emperor/chapter-138,#138 - Chapter 13810-22-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-137,chapter/return-of-immortal-emperor/chapter-137,#137 - Chapter 13710-22-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-136,chapter/return-of-immortal-emperor/chapter-136,#136 - Chapter 13610-22-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-135,chapter/return-of-immortal-emperor/chapter-135,#135 - Chapter 13510-20-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-134,chapter/return-of-immortal-emperor/chapter-134,#134 - Chapter 13410-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-133,chapter/return-of-immortal-emperor/chapter-133,#133 - Chapter 13310-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-132,chapter/return-of-immortal-emperor/chapter-132,#132 - Chapter 13210-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-131,chapter/return-of-immortal-emperor/chapter-131,#131 - Chapter 13110-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-130,chapter/return-of-immortal-emperor/chapter-130,#130 - Chapter 13010-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-129,chapter/return-of-immortal-emperor/chapter-129,#129 - Chapter 12910-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-128,chapter/return-of-immortal-emperor/chapter-128,#128 - Chapter 12810-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-127,chapter/return-of-immortal-emperor/chapter-127,#127 - Chapter 12710-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-126,chapter/return-of-immortal-emperor/chapter-126,#126 - Chapter 12610-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-125,chapter/return-of-immortal-emperor/chapter-125,#125 - Chapter 12510-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-124,chapter/return-of-immortal-emperor/chapter-124,#124 - Chapter 12410-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-123,chapter/return-of-immortal-emperor/chapter-123,#123 - Chapter 12310-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-122,chapter/return-of-immortal-emperor/chapter-122,#122 - Chapter 12210-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-121,chapter/return-of-immortal-emperor/chapter-121,#121 - Chapter 12110-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-120,chapter/return-of-immortal-emperor/chapter-120,#120 - Chapter 12010-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-119,chapter/return-of-immortal-emperor/chapter-119,#119 - Chapter 11910-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-118,chapter/return-of-immortal-emperor/chapter-118,#118 - Chapter 11810-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-117,chapter/return-of-immortal-emperor/chapter-117,#117 - Chapter 11710-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-116,chapter/return-of-immortal-emperor/chapter-116,#116 - Chapter 11610-07-2020,true,179,true,true
